id_region,num_buildings,labeled_buildings,percentage_labeled
70500011,25095,3962,15.788005578800558
72400015,19117,8398,43.929486844170114
82600080,19126,3363,17.583394332322495
72400019,17290,5532,31.995373048004627
38000051,42230,3299,7.81198200331518
72400016,37403,7390,19.757773440633102
64200004,33260,2723,8.187011425135298
72400017,47656,22431,47.06857478596609
25000042,74924,8261,11.02583951737761
52800004,120349,61725,51.28833642157392
25000041,246924,5573,2.256969755876302
72400020,148058,38219,25.813532534547274
52800005,147597,75875,51.40687141337561
4000026,158639,38724,24.41013874267992
52800021,244125,136173,55.7800307219662
25000047,286487,6435,2.2461752191198903
25000046,374436,4763,1.2720464912561826
70300004,282383,31070,11.002786994967826
52800018,104328,59604,57.131354957441914
25000044,399771,14664,3.6680999872426963
27600401,41781,7057,16.890452598070894
57800003,147028,119652,81.38041733547352
38000018,116461,44205,37.95691261452332
25000049,343902,33537,9.751906066263064
82600023,38558,28981,75.1620934695783
82600179,70027,31806,45.41962385936853
82600024,64927,42371,65.25944522309672
82600177,59638,52203,87.53311646936517
82600125,67499,29308,43.41990251707433
25000053,246232,13906,5.647519412586504
25000050,302978,10355,3.4177399019070696
82600025,31313,13932,44.492702711333955
82600145,2459,457,18.584790565270435
27600371,180036,95307,52.93774578417649
82600171,92773,54401,58.63882810731571
82600039,90128,59655,66.18919758565596
82600132,22833,5650,24.744886786668417
82600156,23926,4479,18.72022068043133
82600069,50091,29064,58.02239923339522
82600043,29977,8546,28.508523201120862
82600055,76603,34377,44.876832500032634
82600139,41728,23092,55.339340490797554
25000052,513672,7838,1.5258764347677118
82600078,37676,9850,26.14396432742329
25000055,412735,24553,5.948853380498383
82600116,50608,16190,31.9909895668669
82600169,137654,81539,59.23474799134061
25000048,865632,40224,4.646778307641123
64200005,22084,5096,23.075529795326933
64200007,15638,1996,12.763780534595218
5600030,94647,25914,27.37963168404704
72400032,53509,12642,23.62593208619111
64200006,37529,8707,23.200724772842335
82600036,16845,7942,47.147521519738795
72400021,45976,13624,29.632851922742297
4000022,84803,16613,19.590108840489133
25000056,196685,38230,19.437171111167604
5600029,298140,53645,17.993224659555914
27600365,86397,12029,13.92293713902103
82600079,152944,80599,52.69837326080133
82600048,54727,42706,78.03460814588777
82600097,31918,5084,15.928316310545773
82600034,152356,55615,36.503321168841396
82600172,115751,41314,35.69213224939741
82600159,140183,63487,45.288658396524546
72400023,68989,51507,74.65972836249257
82600047,78554,38447,48.94340199098709
64200008,4478,497,11.09870477891916
25000051,503330,9711,1.9293505255001688
72400025,21926,5821,26.54839003922284
38000009,55728,3707,6.651952339936836
64200009,9264,4225,45.6066493955095
72400026,45431,18586,40.910391582839914
20800007,146726,10868,7.407003530389979
82600128,280555,196511,70.04366345279892
72400024,306285,115365,37.66589940741466
82600126,26019,12075,46.40839386602099
82600049,34398,13085,38.04000232571661
5600004,102746,40574,39.48961516750044
82600118,31059,20677,66.57329598506068
82600124,42794,16934,39.570967892695236
64200010,21023,2324,11.054559292203777
25000054,590204,9131,1.5470921918523088
82600127,173054,118502,68.47689160608827
64200011,80730,10346,12.815558032949337
82600050,46499,8488,18.25415600335491
57800004,167141,137688,82.37835121244937
72400027,125868,29685,23.58423109924683
82600153,72109,47292,65.58404637423901
52800007,97971,57919,59.118514662502164
82600094,79516,4198,5.279440615725138
27600264,12799,1093,8.539729666380186
27600344,13210,1738,13.15669947009841
61600038,123938,32765,26.43660539947393
82600052,18584,14662,78.8958243650452
82600081,89136,31702,35.565876862322746
27600321,184397,77138,41.832567774963806
82600092,98484,8311,8.438934243125788
52800026,123567,82642,66.88031594195861
72400029,37603,11382,30.268861527005825
72400028,376931,156074,41.406517373206235
23300001,66848,2355,3.522917663954045
52800015,96956,60641,62.54486571228186
82600085,137110,87177,63.581795638538395
5600015,93227,46640,50.02842524161455
82600107,209453,74553,35.59414283872754
4000028,16725,1122,6.708520179372197
27600266,33561,5170,15.40478531628974
82600112,23871,13160,55.12965523019564
72400031,37999,16144,42.48532856127793
72400030,50800,10467,20.60433070866142
82600115,68678,37568,54.7016511837852
82600108,50216,15717,31.298789230524136
5600010,194787,76053,39.044186727040305
52800011,165748,92729,55.94577310133456
4000016,38469,6296,16.366424913566767
82600084,174477,28097,16.103555196386914
5600009,322141,236516,73.42002415091528
82600114,147360,42869,29.091340933767647
4000013,84585,6676,7.892652361529823
10000020,107714,28995,26.918506415136378
64200012,107915,26804,24.8380669971737
5600036,48307,9912,20.518765396319374
5600017,175294,132309,75.47833924720754
75600020,18245,2293,12.567826801863525
4000031,157768,28201,17.874980984737082
82600148,11249,4107,36.50991199217708
5600018,162459,93581,57.6028413322746
5600016,283827,136139,47.96548601789118
82600160,52589,15425,29.331228964232064
10000014,9680,2286,23.615702479338843
82600147,89677,56673,63.19680631600075
5600039,34666,3683,10.624242773899498
5600020,266122,133381,50.12024560164136
10000026,19866,923,4.6461290647337155
10000027,9808,561,5.7198205546492655
5600038,47467,5817,12.25482967113995
82600154,128874,61634,47.8250073715412
82600120,145795,59055,40.505504303988474
27600270,30721,15610,50.812148042055924
25000058,361551,20879,5.774842276746572
82600121,61296,23601,38.503328112764294
75600003,91068,24189,26.56147054947951
27600277,69815,30969,44.358662178614914
75600014,47878,6093,12.72609549271064
27600162,69704,16804,24.107655227820498
75600013,103253,12882,12.476150814019931
5600044,29218,20263,69.35108494763502
75600025,74156,8257,11.134635093586494
82600122,197831,95286,48.16535325606199
38000072,43021,3069,7.133725389925851
75600021,105932,13593,12.831816637087941
52800012,257734,133145,51.65985085398124
5600025,71970,23451,32.58441017090454
27600024,100485,25958,25.83271134995273
27600285,12757,2111,16.547777690679627
20300005,171486,75602,44.086397723429315
27600006,145130,59908,41.27885344174189
25000057,870474,27628,3.173902954022751
27600090,118975,23327,19.606640050430762
27600399,33546,8013,23.886603469862276
82600130,44083,14458,32.797223419458746
27600283,65131,4786,7.348267338133915
25000059,526330,12129,2.304447779909942
27600231,37912,2895,7.636104663431103
25000060,475852,10499,2.206358279465044
27600046,89046,7178,8.061002178649238
82600161,75170,34129,45.4024211786617
27600152,39870,8090,20.290945573112616
82600134,91352,27329,29.916148524389175
5600007,49590,33695,67.94716676749346
27600050,115857,19912,17.18670429926547
25000096,416100,17346,4.168709444844989
25000063,593042,17022,2.8702857470465837
25000064,529505,19573,3.6964712325662648
27600071,145634,29886,20.521306837689004
25000066,292047,17177,5.881587552688437
25000072,185828,4428,2.382848655746174
20300002,342900,156964,45.775444736074654
27600078,171480,24245,14.13867506414742
25000071,268650,5000,1.8611576400521124
25000073,260070,5374,2.0663667474141576
27600105,121845,15590,12.794944396569413
27600290,30459,14491,47.575429265570115
25000078,114645,3202,2.7929696018142964
30000017,9493,1576,16.601706520594124
30000010,3104,448,14.432989690721648
30000011,8377,356,4.2497314074250925
25000074,382913,6014,1.5705917532180937
25000077,150814,4801,3.183391462331083
25000075,429489,6677,1.5546381863097773
25000068,509216,98487,19.340908376798843
52800020,426361,257552,60.407025970949505
52800016,497668,293163,58.90734385172445
25000076,451109,10734,2.37946926352611
19100002,17054,10762,63.105429811187996
25000082,197355,5335,2.7032504876998305
27600121,188328,63924,33.942908117752005
25000070,740024,47770,6.45519604769575
27600149,151129,48420,32.03885422387497
27600081,295984,22621,7.6426428455592195
25000079,414086,19728,4.764227720811618
27600142,149259,18962,12.704091545568442
25000080,572471,9754,1.7038417666571757
27600234,51633,5550,10.748939631630934
25000092,241339,4036,1.6723364230397906
64200014,51021,4805,9.417690754787245
25000086,471738,6058,1.2841874091126855
64200015,8886,3896,43.84424938104884
25000095,262209,3568,1.36074658001823
64200016,7535,3274,43.45056403450564
27600172,158895,34360,21.624343119670222
25000094,430006,9501,2.209504053431812
62000003,25176,12800,50.84207181442644
25000087,557311,16828,3.0194989871005595
25000088,585994,13790,2.353266415697089
64200018,45349,4372,9.64078590487111
64200019,22718,7098,31.243947530592482
25000097,148417,3790,2.5536158256803465
27600182,96393,7583,7.866753809923957
