index,clc_code,clc,clc_categorical
0,111,continuous_urban_fabric,1
1,112,discontinuous_dense_medium_urban_fabric,2
2,121,industrial_commercial_public_private_units,6
3,122,transport_units,7
4,123,transport_units,7
5,124,transport_units,7
6,131,mine_dump_and_construction_sites,8
7,132,mine_dump_and_construction_sites,8
8,133,mine_dump_and_construction_sites,8
9,141,artificial_non_agricultural_vegetated_areas,9
10,142,artificial_non_agricultural_vegetated_areas,9
11,212,agricultural_areas,10
12,213,agricultural_areas,10
13,221,agricultural_areas,10
14,222,agricultural_areas,10
15,223,agricultural_areas,10
16,231,agricultural_areas,10
17,241,agricultural_areas,10
18,242,agricultural_areas,10
19,243,agricultural_areas,10
20,244,agricultural_areas,10
21,311,forest,11
22,312,forest,11
23,313,forest,11
24,321,shrub_and_or_herbaceous_vegetation_associations,12
25,322,shrub_and_or_herbaceous_vegetation_associations,12
26,323,shrub_and_or_herbaceous_vegetation_associations,12
27,324,shrub_and_or_herbaceous_vegetation_associations,12
28,331,open_spaces_with_little_or_no_vegetation,13
29,332,open_spaces_with_little_or_no_vegetation,13
30,333,open_spaces_with_little_or_no_vegetation,13
31,334,open_spaces_with_little_or_no_vegetation,13
32,335,open_spaces_with_little_or_no_vegetation,13
33,411,wetlands,14
34,412,wetlands,14
35,421,wetlands,14
36,422,wetlands,14
37,423,wetlands,14
38,512,water_bodies,15
39,521,water_bodies,15
40,522,water_bodies,15
41,523,water_bodies,15
