index,ua_code,ua,ua_categorical
0,11100,continuous_urban_fabric,1
1,11210,discontinuous_dense_medium_urban_fabric,2
2,11220,discontinuous_dense_medium_urban_fabric,2
3,11230,discontinuous_low_urban_fabric,3
4,11240,discontinuous_very_low_urban_fabric,4
5,11300,isolated_structures,5
6,12100,industrial_commercial_public_private_units,6
7,12230,transport_units,7
8,12300,transport_units,7
9,12400,transport_units,7
10,13100,mine_dump_and_construction_sites,8
11,13300,mine_dump_and_construction_sites,8
12,13400,mine_dump_and_construction_sites,8
13,14100,artificial_non_agricultural_vegetated_areas,9
14,14200,artificial_non_agricultural_vegetated_areas,9
15,21000,agricultural_areas,10
16,22000,agricultural_areas,10
17,23000,agricultural_areas,10
18,24000,agricultural_areas,10
19,25000,agricultural_areas,10
20,31000,forest,11
21,32000,shrub_and_or_herbaceous_vegetation_associations,12
22,33000,open_spaces_with_little_or_no_vegetation,13
23,40000,wetlands,14
24,50000,water_bodies,15
